DATE,MORTGAGE15US
2001-04-06,6.54
2001-04-13,6.55
2001-04-20,6.66
2001-04-27,6.63
2001-05-04,6.66
2001-05-11,6.61
2001-05-18,6.67
2001-05-25,6.76
2001-06-01,6.78
2001-06-08,6.74
2001-06-15,6.70
2001-06-22,6.65
2001-06-29,6.63
2001-07-06,6.74
2001-07-13,6.76
2001-07-20,6.65
2001-07-27,6.58
2001-08-03,6.54
2001-08-10,6.54
2001-08-17,6.48
2001-08-24,6.47
2001-08-31,6.47
2001-09-07,6.44
2001-09-14,6.39
2001-09-21,6.30
2001-09-28,6.23
2001-10-05,6.11
2001-10-12,6.06
2001-10-19,6.09
2001-10-26,6.13
2001-11-02,6.04
2001-11-09,5.94
2001-11-16,5.98
2001-11-23,6.24
2001-11-30,6.53
2001-12-07,6.30
2001-12-14,6.57
2001-12-21,6.65
2001-12-28,6.65
2002-01-04,6.62
2002-01-11,6.55
2002-01-18,6.31
2002-01-25,6.44
2002-02-01,6.51
2002-02-08,6.36
2002-02-15,6.35
2002-02-22,6.28
2002-03-01,6.28
2002-03-08,6.37
2002-03-15,6.59
2002-03-22,6.65
2002-03-29,6.69
2002-04-05,6.64
2002-04-12,6.49
2002-04-19,6.42
2002-04-26,6.35
2002-05-03,6.26
2002-05-10,6.27
2002-05-17,6.37
2002-05-24,6.28
2002-05-31,6.22
2002-06-07,6.18
2002-06-14,6.17
2002-06-21,6.08
2002-06-28,5.99
2002-07-05,6.03
2002-07-12,6.00
2002-07-19,5.93
2002-07-26,5.76
2002-08-02,5.84
2002-08-09,5.69
2002-08-16,5.63
2002-08-23,5.71
2002-08-30,5.64
2002-09-06,5.56
2002-09-13,5.59
2002-09-20,5.47
2002-09-27,5.41
2002-10-04,5.40
2002-10-11,5.34
2002-10-18,5.56
2002-10-25,5.70
2002-11-01,5.51
2002-11-08,5.48
2002-11-15,5.32
2002-11-22,5.44
2002-11-29,5.57
2002-12-06,5.60
2002-12-13,5.46
2002-12-20,5.42
2002-12-27,5.32
2003-01-03,5.24
2003-01-10,5.33
2003-01-17,5.36
2003-01-24,5.31
2003-01-31,5.28
2003-02-07,5.27
2003-02-14,5.26
2003-02-21,5.21
2003-02-28,5.14
2003-03-07,5.01
2003-03-14,4.93
2003-03-21,5.11
2003-03-28,5.21
2003-04-04,5.06
2003-04-11,5.17
2003-04-18,5.12
2003-04-25,5.12
2003-05-02,5.03
2003-05-09,4.97
2003-05-16,4.84
2003-05-23,4.73
2003-05-30,4.73
2003-06-06,4.66
2003-06-13,4.60
2003-06-20,4.62
2003-06-27,4.63
2003-07-04,4.75
2003-07-11,4.85
2003-07-18,5.00
2003-07-25,5.27
2003-08-01,5.44
2003-08-08,5.66
2003-08-15,5.58
2003-08-22,5.60
2003-08-29,5.66
2003-09-05,5.77
2003-09-12,5.46
2003-09-19,5.30
2003-09-26,5.30
2003-10-03,5.10
2003-10-10,5.26
2003-10-17,5.36
2003-10-24,5.39
2003-10-31,5.26
2003-11-07,5.31
2003-11-14,5.39
2003-11-21,5.17
2003-11-28,5.22
2003-12-05,5.36
2003-12-12,5.24
2003-12-19,5.14
2003-12-26,5.13
2003-12-31,5.15
2004-01-08,5.17
2004-01-15,4.97
2004-01-22,4.95
2004-01-29,4.97
2004-02-05,5.03
2004-02-12,4.96
2004-02-19,4.87
2004-02-26,4.89
2004-03-04,4.88
2004-03-11,4.69
2004-03-18,4.69
2004-03-25,4.70
2004-04-01,4.84
2004-04-08,5.12
2004-04-15,5.23
2004-04-22,5.25
2004-04-29,5.35
2004-05-06,5.47
2004-05-13,5.72
2004-05-20,5.67
2004-05-27,5.69
2004-06-03,5.63
2004-06-10,5.67
2004-06-17,5.70
2004-06-24,5.64
2004-07-01,5.62
2004-07-08,5.42
2004-07-15,5.40
2004-07-22,5.39
2004-07-29,5.49
2004-08-05,5.40
2004-08-12,5.24
2004-08-19,5.19
2004-08-26,5.21
2004-09-02,5.15
2004-09-09,5.22
2004-09-16,5.13
2004-09-23,5.10
2004-09-30,5.12
2004-10-07,5.24
2004-10-14,5.14
2004-10-21,5.07
2004-10-28,5.01
2004-11-04,5.08
2004-11-11,5.16
2004-11-18,5.15
2004-11-24,5.15
2004-12-02,5.23
2004-12-09,5.14
2004-12-16,5.11
2004-12-22,5.18
2004-12-29,5.23
2005-01-06,5.21
2005-01-13,5.19
2005-01-20,5.15
2005-01-27,5.14
2005-02-03,5.14
2005-02-10,5.10
2005-02-17,5.14
2005-02-24,5.22
2005-03-03,5.33
2005-03-10,5.38
2005-03-17,5.47
2005-03-24,5.56
2005-03-31,5.58
2005-04-07,5.48
2005-04-14,5.46
2005-04-21,5.36
2005-04-28,5.33
2005-05-05,5.31
2005-05-12,5.33
2005-05-19,5.27
2005-05-26,5.21
2005-06-02,5.20
2005-06-09,5.14
2005-06-16,5.22
2005-06-23,5.16
2005-06-30,5.12
2005-07-07,5.20
2005-07-14,5.25
2005-07-21,5.32
2005-07-28,5.34
2005-08-04,5.38
2005-08-11,5.47
2005-08-18,5.40
2005-08-25,5.35
2005-09-01,5.32
2005-09-08,5.30
2005-09-15,5.32
2005-09-22,5.37
2005-09-29,5.48
2005-10-06,5.54
2005-10-13,5.62
2005-10-20,5.65
2005-10-27,5.69
2005-11-03,5.85
2005-11-10,5.89
2005-11-17,5.90
2005-11-23,5.81
2005-12-01,5.81
2005-12-08,5.87
2005-12-15,5.85
2005-12-22,5.79
2005-12-29,5.76
2006-01-05,5.76
2006-01-12,5.71
2006-01-19,5.67
2006-01-26,5.70
2006-02-02,5.81
2006-02-09,5.83
2006-02-16,5.91
2006-02-23,5.89
2006-03-02,5.89
2006-03-09,6.00
2006-03-16,5.98
2006-03-23,5.97
2006-03-30,6.00
2006-04-06,6.10
2006-04-13,6.14
2006-04-20,6.17
2006-04-27,6.21
2006-05-04,6.22
2006-05-11,6.17
2006-05-18,6.20
2006-05-25,6.23
2006-06-01,6.26
2006-06-08,6.23
2006-06-15,6.25
2006-06-22,6.36
2006-06-29,6.43
2006-07-06,6.44
2006-07-13,6.37
2006-07-20,6.41
2006-07-27,6.34
2006-08-03,6.27
2006-08-10,6.20
2006-08-17,6.20
2006-08-24,6.18
2006-08-31,6.14
2006-09-07,6.16
2006-09-14,6.11
2006-09-21,6.06
2006-09-28,5.98
2006-10-05,5.98
2006-10-12,6.06
2006-10-19,6.06
2006-10-26,6.10
2006-11-02,6.02
2006-11-09,6.04
2006-11-16,5.94
2006-11-22,5.91
2006-11-30,5.87
2006-12-07,5.84
2006-12-14,5.86
2006-12-21,5.89
2006-12-28,5.93
2007-01-04,5.94
2007-01-11,5.96
2007-01-18,5.98
2007-01-25,5.98
2007-02-01,6.06
2007-02-08,6.02
2007-02-15,6.03
2007-02-22,5.97
2007-03-01,5.92
2007-03-08,5.86
2007-03-15,5.88
2007-03-22,5.90
2007-03-29,5.86
2007-04-05,5.87
2007-04-12,5.90
2007-04-19,5.89
2007-04-26,5.87
2007-05-03,5.87
2007-05-10,5.87
2007-05-17,5.92
2007-05-24,6.06
2007-05-31,6.12
2007-06-07,6.22
2007-06-14,6.43
2007-06-21,6.37
2007-06-28,6.34
2007-07-05,6.30
2007-07-12,6.39
2007-07-19,6.38
2007-07-26,6.37
2007-08-02,6.32
2007-08-09,6.25
2007-08-16,6.30
2007-08-23,6.18
2007-08-30,6.12
2007-09-06,6.15
2007-09-13,5.97
2007-09-20,5.98
2007-09-27,6.09
2007-10-04,6.03
2007-10-11,6.06
2007-10-18,6.08
2007-10-25,5.99
2007-11-01,5.91
2007-11-08,5.90
2007-11-15,5.88
2007-11-21,5.83
2007-11-29,5.73
2007-12-06,5.65
2007-12-13,5.78
2007-12-20,5.79
2007-12-27,5.79
2008-01-03,5.68
2008-01-10,5.43
2008-01-17,5.21
2008-01-24,4.95
2008-01-31,5.17
2008-02-07,5.15
2008-02-14,5.25
2008-02-21,5.64
2008-02-28,5.72
2008-03-06,5.47
2008-03-13,5.60
2008-03-20,5.27
2008-03-27,5.34
2008-04-03,5.42
2008-04-10,5.42
2008-04-17,5.40
2008-04-24,5.62
2008-05-01,5.59
2008-05-08,5.60
2008-05-15,5.60
2008-05-22,5.55
2008-05-29,5.66
2008-06-05,5.65
2008-06-12,5.93
2008-06-19,6.02
2008-06-26,6.04
2008-07-03,5.92
2008-07-10,5.91
2008-07-17,5.78
2008-07-24,6.18
2008-07-31,6.07
2008-08-07,6.10
2008-08-14,6.07
2008-08-21,6.00
2008-08-28,5.93
2008-09-04,5.90
2008-09-11,5.54
2008-09-18,5.35
2008-09-25,5.77
2008-10-02,5.78
2008-10-09,5.63
2008-10-16,6.14
2008-10-23,5.72
2008-10-30,6.19
2008-11-06,5.88
2008-11-13,5.81
2008-11-20,5.73
2008-11-26,5.74
2008-12-04,5.33
2008-12-11,5.20
2008-12-18,4.92
2008-12-24,4.91
2008-12-31,4.83
2009-01-08,4.62
2009-01-15,4.65
2009-01-22,4.80
2009-01-29,4.80
2009-02-05,4.92
2009-02-12,4.81
2009-02-19,4.68
2009-02-26,4.68
2009-03-05,4.72
2009-03-12,4.64
2009-03-19,4.61
2009-03-26,4.58
