RegionID,SizeRank,RegionName,RegionType,StateName,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021
102001,0,United States,Country,,1370479,1222128,1220989,1238138,1361119,1450641,1520088,1574162,1603663,1597768,1546745,1543807,1433836,1274160,1290638,1289021,1387977,1467761,1544132,1596463,1606448,1586404,1549647,1522106,1380746,1229615,1233235,1235158,1289297,1200554,1292669,1277262,1244231,1188733,1135358,1123408,973628,844189,866084,757140,816408,833309
394913,1,"New York, NY",Msa,NY,56733,49779,48723,51987,57209,63410,68152,69973,70170,68631,67192,67437,61884,54679,54903,56884,63407,69460,73159,74604,73388,70434,70049,67222,60403,52589,51591,53686,56652,46955,51052,56679,58247,56138,55508,53389,46168,39247,37268,36279,37019,38814
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,19212,15753,16973,18756,20790,22077,23951,24933,26347,26554,26179,26719,24958,21304,22088,22391,24150,25050,26359,26441,26783,26017,25232,24567,21167,17282,17827,18966,18974,17057,19717,20992,21656,21527,21450,21410,18902,15889,16209,16243,17670,17393
394463,3,"Chicago, IL",Msa,IL,33147,28129,27576,29056,33328,35048,37190,39326,40116,39670,38464,38016,34067,29130,28801,30389,34954,37819,39992,41618,41990,42062,41372,39988,35390,30354,30249,32282,33632,29883,32519,33503,32741,31050,29073,28307,23906,19914,21961,18659,21090,23028
394514,4,"Dallas-Fort Worth, TX",Msa,TX,25462,22175,21743,22303,25472,28747,30426,32508,34422,33825,32598,31853,30179,26844,27504,28115,31224,33067,35141,38326,39185,38222,36561,35708,33042,29514,29387,30396,31506,29792,33268,32932,32042,29519,26738,28157,24431,20896,21242,18137,19546,20346
394974,5,"Philadelphia, PA",Msa,PA,27918,23603,23108,24204,26604,29457,30387,29195,28181,27875,27337,27829,25987,22599,22604,22515,25211,27358,28082,28475,29219,26920,26585,26518,23679,20625,20342,20764,21140,17385,20184,21866,21387,20253,19618,19772,17351,14764,15084,13853,16004,17039
394692,6,"Houston, TX",Msa,TX,33271,30453,31027,30765,35078,37010,39024,40070,40878,40309,37884,37846,35824,33170,34860,34841,37613,39329,40970,44219,44863,44063,41748,40958,38608,36153,37240,38008,39195,37443,39851,38477,37302,34744,32557,32580,28667,26195,27649,24038,25154,23863
395209,7,"Washington, DC",Msa,DC,22981,19531,18262,19263,23774,27942,27776,23603,23246,22920,22788,23224,20408,16083,15051,15494,18913,21416,23093,23218,22476,21128,21399,21187,18175,14705,14804,15562,18016,16620,18014,17657,17847,16769,16612,16884,14235,11636,12107,11556,14903,16664
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,29125,28367,30784,31452,33153,33020,32502,31899,31715,31543,31259,32636,32396,31560,34469,35405,36301,35669,35100,34255,33632,32364,31625,32419,31234,30042,32025,32000,31774,28783,29950,29342,27570,26016,25396,25416,23355,22247,22118,17647,16903,15693
394347,9,"Atlanta, GA",Msa,GA,29787,26092,26603,26485,29193,30517,30952,33008,34148,33680,32677,33374,31061,28366,29758,33340,33217,34632,35992,38002,38654,38321,37639,37718,34594,31883,33022,32820,34675,33973,36155,34832,33188,31368,28813,28904,25207,22055,23935,20959,21831,21488
