RegionID,SizeRank,RegionName,RegionType,StateName,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021
102001,0,United States,Country,,274500,269900,269900,278000,289000,298000,299900,299900,299500,299000,297000,295000,290000,289700,289900,297500,304900,315000,323900,324800,319900,315000,310000,308900,299990,299000,299000,300000,315000,319000,329000,339000,340000,340000,340000,339900,335000,329250,327658,338990,350000,369990
394913,1,"New York, NY",Msa,NY,499999,499900,499990,525000,538000,549000,549900,550000,549000,549000,549000,549000,539900,534500,529000,540000,549900,559900,569000,569000,560000,559000,560000,564900,559999,563500,560000,574900,595000,589999,599000,599999,625000,639000,645000,649000,649000,650000,659000,669000,675000,679000
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,839900,849000,849888,851888,888888,899000,899000,890000,869000,839000,825000,815000,799900,799000,795000,800000,849000,879000,899000,900550,912000,905000,899000,899999,915000,920000,929900,969000,990000,938000,950000,999000,1095000,1117851,1099000,1100000,1148000,1175000,1175000,1180000,1177500,1149900
394463,3,"Chicago, IL",Msa,IL,315000,300000,303990,329000,349900,360000,365000,359333,349900,345000,339900,329900,324900,311900,312890,329900,349000,359000,359900,356450,349900,339900,335000,329000,319900,314900,314990,329900,345000,344500,349900,360000,369900,374990,375000,372900,365000,359900,349900,375000,390000,395000
394514,4,"Dallas-Fort Worth, TX",Msa,TX,341345,344900,347375,354900,361575,369900,369900,359900,350000,345000,340000,340000,339900,336000,334900,340000,349990,359000,361500,358900,349900,346000,344900,344900,342900,339000,335000,339500,344269,340000,349999,359900,364800,364900,365000,359900,355000,352000,350000,357575,365000,375000
394974,5,"Philadelphia, PA",Msa,PA,259000,249900,245000,250000,260000,269900,279500,283900,279900,273500,270000,270000,265000,254900,249900,250000,265900,277163,289000,294900,295000,292990,295000,295000,289900,282000,279900,289900,295000,299900,312500,325000,335000,339000,332629,339900,330000,320000,317900,319900,324900,335000
394692,6,"Houston, TX",Msa,TX,325000,325000,325000,332500,339000,343000,346000,342684,334900,329000,325000,320000,319900,318990,319000,320000,329867,335000,337999,332022,325240,320000,319900,319900,315000,310900,310000,315000,320000,320000,329950,339000,340000,347500,350000,344900,344900,339900,339365,344900,355000,368998
395209,7,"Washington, DC",Msa,DC,450000,439500,439900,449990,470000,474000,489900,499999,499000,479900,474900,470000,459990,449900,449900,469000,491990,508000,517500,514900,499900,499000,499900,499900,499900,494568,497369,515000,535000,525000,539900,565000,565900,569900,569000,569900,558900,550000,549000,549900,545000,550000
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,464900,464901,460000,465000,474900,479900,479500,478000,470000,460000,450000,449500,445000,445000,445000,445000,450000,455000,460000,464900,465000,464900,459800,459000,459000,459000,459900,465000,472500,459000,465000,485000,499902,520000,524900,525000,517724,515000,525000,539000,549900,570000
394347,9,"Atlanta, GA",Msa,GA,310130,311700,316899,325000,339900,350000,355000,350000,339900,334900,329900,325000,322000,319000,315000,320000,330000,345000,350000,349950,345000,339900,335900,330000,330000,327985,325000,329900,337900,332500,342410,350000,362000,367900,369900,365632,365000,360000,367060,380000,397000,420000
394404,10,"Boston, MA",Msa,MA,559900,549900,550000,585000,619990,629000,625000,600000,569900,549000,549900,549000,539900,539000,548900,550000,599000,609000,619000,609900,599900,599000,594900,599000,594900,589900,589900,614900,645000,639000,650000,675000,679500,679900,679900,699900,699900,699000,719000,759900,749900,725000
395057,11,"San Francisco, CA",Msa,CA,849900,799888,799000,895000,949900,979000,998000,980000,900000,875000,888888,880000,849000,799950,799000,875000,949000,950000,995000,960000,935000,900000,949000,940000,925000,879000,877700,975000,995000,979999,1065000,1149000,1170000,1160000,1175000,1152603,1198000,1174950,1160000,1159000,1195000,1195000
394532,12,"Detroit, MI",Msa,MI,228500,219000,212900,220000,240000,261990,274900,275000,267766,255000,249000,239900,230000,224900,223990,229000,244900,265900,275000,279900,274900,264900,249900,244900,235000,225000,220000,220000,239000,240000,262500,290000,299899,295500,279900,279496,269900,259000,259900,265900,279900,299000
395025,13,"Riverside, CA",Msa,CA,399900,399999,402990,410000,419999,425000,424999,425000,419900,415000,411990,409000,405000,399900,407000,414999,424500,425000,430000,435000,434000,429900,424000,424900,423000,423406,425000,433900,439900,438500,449000,469000,489000,499900,509000,509000,512000,515000,510000,510000,520000,540990
394976,14,"Phoenix, AZ",Msa,AZ,332500,335000,344950,349999,359900,359900,360000,355000,349900,345000,345000,344000,340000,344900,349900,350000,359500,365000,368000,369000,366945,369900,372990,370000,375000,379000,389000,398000,399900,378990,385000,399900,413963,415000,418990,410500,409900,415000,419900,420000,430000,449500
395078,15,"Seattle, WA",Msa,WA,515000,519950,545000,579900,619000,624950,625000,620000,599950,594950,589000,594950,584950,585800,599950,634950,668000,695000,679000,674500,664000,649999,649950,650000,650000,659000,677551,698950,699950,679990,699990,724900,729000,725000,720000,699950,699950,699998,724900,735000,749000,750000
394865,16,"Minneapolis-St Paul, MN",Msa,MN,346247,366293,383086,398724,409220,398724,393476,385185,375468,367238,365768,359891,356742,367238,382981,398724,414467,409220,403972,393581,388344,380462,372485,367238,367342,377733,393476,405021,406701,398829,405126,409324,409324,404077,393581,388229,388229,393581,395000,404000,415000,405000
395056,17,"San Diego, CA",Msa,CA,735000,749000,749900,775000,777000,789000,789000,789000,769000,749000,729000,709900,699876,699900,705000,735000,759000,789000,799000,795000,785000,790000,799000,779900,789000,795290,790000,825000,848500,799900,842777,899000,949999,949000,929000,899000,889000,899000,899000,919000,899000,900000
395121,18,"St. Louis, MO",Msa,MO,195000,189900,189900,196900,208300,219900,224900,222900,219900,219900,219900,219900,214900,208900,208000,215900,230000,240000,249000,249900,247450,244000,242500,239000,235000,229900,235940,244900,246540,249900,260500,269000,265000,260000,259900,259000,250000,249465,253500,267900,272950,285000
395148,19,"Tampa, FL",Msa,FL,279900,279900,279500,281329,289900,299000,299037,299000,295000,289900,285000,284000,279900,279000,279000,280800,290000,299900,304340,300000,299900,299900,299000,297257,294900,291192,290000,295900,299500,294000,300000,317960,325000,329900,333000,334500,329000,329000,321005,324000,332990,350000
394358,20,"Baltimore, MD",Msa,MD,315400,305000,299990,302990,319988,329987,349500,351990,350000,349000,339990,339000,325000,319000,317500,319900,331000,349900,359000,359900,359990,350000,349000,339990,335000,325000,325000,334900,345900,349900,360000,369900,375000,369500,360000,359900,345000,336000,330000,339900,350000,350000
394530,21,"Denver, CO",Msa,CO,539900,567874,579900,588000,585000,577000,557000,544999,525000,520000,515000,500000,499900,513650,525000,544900,559900,558000,550000,549900,535000,528900,525000,525000,533925,540000,559978,580940,595000,570000,576130,599900,605000,599990,593000,579000,599000,624900,613653,630000,640000,649713
394982,22,"Pittsburgh, PA",Msa,PA,169900,165000,163900,165000,172900,175000,179900,179900,175000,175000,174900,172000,169900,167500,164900,168000,176000,185900,189900,194500,195000,194745,190000,184900,179900,175000,178000,185000,194900,190000,199900,219900,225000,220000,223900,224900,219900,215000,210000,210000,218000,229900
394998,23,"Portland, OR",Msa,OR,487000,489950,495000,500000,524900,524900,524750,518500,499900,494900,485000,480000,479900,479900,488400,496000,500000,505000,509000,500000,499000,498000,489900,485000,485000,489000,499000,514000,519000,499900,519000,525000,534900,535000,545000,549900,574900,585000,569999,575000,599900,619900
394458,24,"Charlotte, NC",Msa,NC,339900,335000,339000,340000,350000,359500,359900,359000,349950,340900,335000,329900,325000,324900,325000,334999,345000,352900,360365,359990,350900,349000,344990,344094,343033,345000,345000,352655,359900,350000,364990,375000,385000,385000,385000,375000,375000,375000,375000,384999,399000,416990
395045,25,"Sacramento, CA",Msa,CA,476535,476535,480634,491804,502052,511378,511378,507279,501130,491804,481659,480634,476535,476535,481659,501130,512403,532796,538023,543147,542122,538023,531646,522548,522548,532181,538023,552370,559612,548271,553395,563643,582090,589263,604123,609759,613858,614781,619000,604990,599000,639000
395055,26,"San Antonio, TX",Msa,TX,280000,284990,283968,284242,289900,298900,299900,299499,295000,288000,284000,280000,281447,282500,279999,279999,285000,290500,295021,295000,290000,285900,285000,280000,279900,279000,279000,280000,289480,289900,293900,299990,302499,299900,298903,295000,289900,288500,288990,292990,302499,317647
394943,27,"Orlando, FL",Msa,FL,318742,315900,319900,325000,335000,339950,342000,340000,339000,334900,329000,324913,319900,319000,317000,320000,329000,339900,344900,343990,340000,339900,339900,338900,338990,339500,339990,349000,350000,339000,342500,350000,359500,360000,360000,359500,359900,360000,355000,363990,377808,395000
394466,28,"Cincinnati, OH",Msa,OH,229900,224000,225000,240000,259900,279500,282500,275000,269000,255625,250000,249900,244900,237000,239000,259900,279000,289900,299000,298900,295000,285000,279900,270000,268900,264900,270000,296900,315000,324900,340000,359500,359900,349900,329900,319900,314495,317900,320000,335000,342900,354990
394475,29,"Cleveland, OH",Msa,OH,173939,167753,170899,176036,183480,193440,197634,199102,199102,196062,193860,193860,188617,188617,188198,193860,199102,209587,209691,219128,209691,208538,204344,199102,193965,191343,188722,197005,209587,212677,228564,235892,241040,235798,220071,212313,208604,199102,199900,210000,229900,240000
394735,30,"Kansas City, MO",Msa,MO,255000,252000,262000,269950,279950,279000,279900,278000,275000,270250,279900,299000,293000,298000,309900,325000,339900,340000,344900,335000,324995,314900,310000,310000,307000,308900,320000,339000,350000,350000,369500,377585,369950,359900,349950,344999,339950,340000,349900,375000,389900,399000
394775,31,"Las Vegas, NV",Msa,NV,299999,303000,305000,309000,310000,345995,369900,369999,365000,359999,349900,343997,336000,335000,329900,325000,329900,335000,340000,343304,344900,340000,339900,339900,340000,340000,345000,359900,374900,350000,351000,363000,374900,375000,370000,372900,374900,374900,378000,388800,415000,439000
394492,32,"Columbus, OH",Msa,OH,250000,259000,269900,299850,300000,317400,320000,319900,314995,299500,284900,279900,274900,264900,265000,289900,319000,324900,328100,329900,325900,309000,295000,285000,279900,279899,289900,309900,325000,325000,345000,359800,349990,338110,320000,319900,318900,307990,299900,309900,325300,329124
394705,33,"Indianapolis, IN",Msa,IN,214999,209900,215000,228900,249900,290000,291000,284900,274900,259900,249900,239900,230000,229000,229999,244900,269900,285250,289900,285000,280000,274900,274900,265000,259900,254900,260000,274900,288753,294900,309000,324900,319999,315000,298900,284900,275000,270000,273811,280000,290000,295000
395059,34,"San Jose, CA",Msa,CA,1100000,1099000,1095000,1198000,1279000,1299000,1299900,1295000,1250000,1198000,1183000,1170000,1138888,1050888,1098000,1189000,1199000,1225000,1249000,1200000,1198000,1198000,1198998,1197888,1187000,1118888,1150000,1249000,1299000,1269900,1310000,1380000,1398000,1399000,1399000,1398000,1448000,1474990,1475000,1450000,1477000,1489000
394355,35,"Austin, TX",Msa,TX,368463,366002,363832,373282,377062,382732,378005,377913,373282,363832,359012,354382,349562,343157,344459,352492,363832,373282,372810,359012,345420,344922,337372,331243,334536,330662,333072,344932,358162,360997,377062,392183,400688,406358,415714,417446,425764,422395,423990,453990,479500,500000
395194,36,"Virginia Beach, VA",Msa,VA,279000,277000,275000,275000,284900,289900,291400,295000,295000,292999,290000,289000,287000,285000,289900,295000,300000,309900,310000,313990,314500,310000,309900,310000,314900,315000,315000,319900,329900,335900,346000,350000,357940,359900,355000,349500,339900,334900,329900,330000,330000,337000
394902,37,"Nashville, TN",Msa,TN,388677,388677,388677,393863,397987,398908,393895,388677,383664,378446,378446,374353,372307,368471,368317,368215,377013,378548,383561,383664,378446,374036,370261,368317,368215,368112,366169,368215,373330,373330,378548,388677,393894,394839,399010,398908,393792,394815,395000,419990,429900,440000
395005,38,"Providence, RI",Msa,RI,365524,364556,365524,375310,386064,392516,397786,396818,397786,396818,392409,381762,376278,376278,376170,376386,403269,408540,418326,418326,418326,414024,408540,407572,401119,392516,396818,408540,424778,428972,435532,457040,462417,461341,,430047,429080,430047,431900,469900,449000,449900
