School,Common name,Team,City,State,Type,Enrollment,Primary conference
Youngstown State University,Youngstown State,Penguins,Youngstown,Ohio,State,"12,155",Horizon League
Yale University,Yale,Bulldogs,New Haven,Connecticut,Private/Non-Sectarian,"13,609",Ivy League
Xavier University,Xavier,Musketeers,Cincinnati,Ohio,Private/Catholic,"7,127",Big East Conference
University of Wyoming,Wyoming,Cowboys and Cowgirls,Laramie,Wyoming,State,"12,450",Mountain West Conference
Wright State University,Wright State,Raiders,Fairborn,Ohio,State,"12,423",Horizon League
Wofford College,Wofford,Terriers,Spartanburg,South Carolina,Private/Methodist,"1,720",Southern Conference
University of Wisconsin–Milwaukee,Milwaukee[,Panthers,Milwaukee,Wisconsin,State,"26,037",Horizon League
University of Wisconsin–Madison,Wisconsin,Badgers,Madison,Wisconsin,State,"44,413",Big Ten Conference
University of Wisconsin–Green Bay,Green Bay,Phoenix,Green Bay,Wisconsin,State,"8,443",Horizon League
Winthrop University,Winthrop,Eagles,Rock Hill,South Carolina,State,"6,073",Big South Conference
College of William & Mary,William & Mary,Tribe,Williamsburg,Virginia,State,"8,817",Colonial Athletic Association
Wichita State University,Wichita State,Shockers,Wichita,Kansas,State,"16,058",American Athletic Conference
Western Michigan University,Western Michigan,Broncos,Kalamazoo,Michigan,State,"21,470",Mid-American Conference
Western Kentucky University,Western Kentucky,Hilltoppers and Lady Toppers,Bowling Green,Kentucky,State,"20,277",Conference USA
Western Illinois University,Western Illinois,Leathernecks,Macomb,Illinois,State,"5,880",The Summit League
Western Carolina University,Western Carolina,Catamounts,Cullowhee,North Carolina,State,"12,167",Southern Conference
West Virginia University,West Virginia,Mountaineers,Morgantown,West Virginia,State,"21,155",Big 12 Conference
Weber State University,Weber State,Wildcats,Ogden,Utah,State,"26,681",Big Sky Conference
Washington State University,Washington State,Cougars,Pullman,Washington,State,"20,286",Pac-12 Conference
University of Washington,Washington,Huskies,Seattle,Washington,State,"47,571",Pac-12 Conference
Wake Forest University,Wake Forest,Demon Deacons,Winston-Salem,North Carolina,Private/Non-Sectarian,"8,495",Atlantic Coast Conference
Wagner College,Wagner,Seahawks,Staten Island,New York,Private/Lutheran,"2,200",Northeast Conference
Virginia Tech,Virginia Tech,Hokies,Blacksburg,Virginia,State,"33,403",Atlantic Coast Conference
Virginia Military Institute,VMI,Keydets,Lexington,Virginia,State,"1,685",Southern Conference
Virginia Commonwealth University,VCU,Rams,Richmond,Virginia,State,"31,242",Atlantic 10 Conference
